                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    142,                0.49531,                0.44236,                 0.9095,                0.83718,                0.83099,                0.84629,                0.76399,                0.48141,                0.62926,                0.91411,               0.000614,               0.000614,               0.000614
                    143,                0.49134,                0.44655,                0.92061,                0.81998,                0.85758,                0.85121,                0.76896,                0.47639,                0.58672,                 0.9161,              0.0006041,              0.0006041,              0.0006041
                    144,                0.48117,                 0.4391,                0.90669,                0.82984,                0.84239,                 0.8474,                0.76395,                0.47531,                0.59802,                  0.912,              0.0005942,              0.0005942,              0.0005942
                    145,                0.48313,                 0.4481,                0.91099,                0.81709,                0.84832,                0.85565,                0.77085,                 0.4848,                0.59656,                0.92282,              0.0005843,              0.0005843,              0.0005843
                    146,                0.49485,                0.44636,                0.91933,                0.83436,                0.83444,                0.85667,                0.76782,                 0.4852,                 0.6279,                0.91914,              0.0005744,              0.0005744,              0.0005744
                    147,                0.47319,                0.44025,                0.90146,                0.83714,                0.82553,                0.85549,                0.77203,                0.47491,                0.60828,                0.91311,              0.0005645,              0.0005645,              0.0005645
                    148,                0.48041,                0.43147,                0.91028,                0.81077,                0.86061,                0.86111,                 0.7771,                0.47694,                0.57248,                0.91241,              0.0005546,              0.0005546,              0.0005546
                    149,                0.48136,                0.43964,                0.91019,                0.83739,                0.82727,                0.85255,                0.76972,                0.46555,                0.61584,                0.90557,              0.0005447,              0.0005447,              0.0005447
                    150,                0.48634,                0.43522,                0.90968,                0.82446,                0.83939,                0.85071,                0.76588,                0.47212,                0.57535,                0.90984,              0.0005348,              0.0005348,              0.0005348
                    151,                 0.4753,                0.43426,                0.90415,                0.82229,                0.84949,                0.84705,                0.76604,                0.47051,                0.62023,                0.91029,              0.0005249,              0.0005249,              0.0005249
                    152,                0.48161,                0.43074,                0.90679,                0.82584,                0.85354,                0.85307,                0.77098,                0.46663,                0.57615,                 0.9063,               0.000515,               0.000515,               0.000515
                    153,                 0.4849,                0.45111,                0.90644,                 0.7957,                0.87273,                0.84624,                0.76746,                0.47112,                0.59651,                 0.9113,              0.0005051,              0.0005051,              0.0005051
                    154,                 0.4863,                0.43301,                0.91841,                0.84778,                0.81717,                0.84857,                0.76753,                0.47224,                0.60652,                0.91212,              0.0004952,              0.0004952,              0.0004952
                    155,                0.49443,                0.42274,                0.91966,                0.82594,                0.83882,                0.85545,                0.77053,                0.47233,                0.58794,                0.91137,              0.0004853,              0.0004853,              0.0004853
